ids;Rank;Gender;Athlete;Height;Weight;Smoking;Sprint;English;Reading;Math;Writing;LiveOnCampus
43610;1;1;0;177;98;1;8,478;79,61;78,38;45,79;77,91;1
43692;1;1;0;146,9;77,5;0;;85,53;89,67;78,05;;1
44088;1;0;1;192,8;;0;4,566;85,34;81,42;73,51;74,00;1
44413;1;1;0;176,4;94,2;0;8,157;86,85;91,25;76,93;84,01;0
44517;1;1;1;167,8;62,1;0;6,826;69,81;70,58;35,32;70,73;1
44533;1;0;0;172,9;;0;8,755;98,81;80,59;;81,60;1
44661;1;1;0;148,1;51,3;0;8,133;80,84;82,97;;83,36;1
44736;1;0;1;174,3;85,6;0;5,393;87,96;90,10;70,07;;0
44752;1;1;0;180,6;68,1;0;8,897;85,36;90,18;60,03;85,15;1
44795;1;1;0;177,6;109,1;;6,598;93,00;83,23;86,66;90,94;1
44929;1;0;0;162;107,3;0;6,599;86,35;88,85;70,36;74,82;1
45104;1;0;0;165,8;76;0;7,617;80,64;82,78;60,13;86,08;1
45303;1;0;1;193,3;;0;5,605;96,42;99,42;77,14;81,30;
45377;1;1;0;151,3;54,4;0;6,829;83,60;91,38;68,61;80,35;0
45420;1;0;1;177,2;104,6;0;4,620;84,40;76,60;63,42;72,67;1
45550;1;1;1;178,8;;0;5,910;84,60;67,82;62,77;82,73;0
45559;1;0;0;171;98,2;1;6,451;76,55;74,41;64,20;71,37;0
45711;1;0;0;201,3;151,7;0;6,485;81,84;87,51;67,33;77,83;
45901;1;0;1;195;;0;4,741;78,37;83,32;65,79;81,93;1
46109;1;0;0;155,3;60,2;0;;90,80;77,92;65,46;75,46;1
46221;1;0;1;168,4;69,8;0;4,681;82,49;82,01;62,99;75,64;1
46808;1;0;0;182,3;70,6;2;7,221;90,18;81,70;80,51;75,58;0
46968;1;1;1;176,7;72,6;0;5,959;88,85;78,56;54,49;85,91;
47027;1;1;0;159,3;;1;7,980;80,74;78,99;59,38;76,49;1
47050;1;1;0;159,7;72,1;2;7,256;84,30;78,72;72,52;80,03;0
47887;1;1;1;;68,9;0;5,527;86,59;79,22;57,58;70,89;1
48216;1;0;1;180,9;77,5;2;;94,33;76,88;74,19;79,99;1
48309;1;1;0;166,7;56,2;0;;80,59;94,70;74,54;84,25;1
48361;1;0;0;212,7;93,7;0;7,817;95,23;76,72;69,70;82,44;1
48509;1;0;1;168,3;54;0;4,556;79,81;77,98;65,48;83,37;1
48541;1;0;0;190,1;121,2;0;8,899;90,87;76,84;71,09;80,39;1
48591;1;0;1;175,5;90,2;0;4,695;67,77;77,46;59,51;;0
48942;1;1;0;177,4;108,4;0;6,756;81,22;83,18;85,32;;0
49155;1;1;0;158;84,7;0;6,735;77,17;55,11;40,38;80,62;1
49213;1;0;1;188,8;74,8;0;5,685;89,30;90,92;66,46;82,21;1
49326;1;0;0;185;88,3;0;7,812;69,48;79,78;54,69;69,38;1
49342;1;1;0;139,8;69,8;0;6,350;73,72;77,73;66,57;;1
49381;1;1;0;156,3;92,1;2;;80,03;80,19;65,69;86,64;0
49838;1;0;1;181,8;;0;5,651;68,97;78,16;60,06;71,87;1
49947;1;1;1;173,5;72,8;0;5,503;71,12;56,53;55,43;73,56;1
20255;2;1;0;167;;0;7,684;80,46;81,22;46,30;72,24;
20402;2;0;0;158,6;92;0;6,132;74,15;80,96;69,39;75,77;0
20626;2;1;0;145,8;81,3;2;6,619;73,12;81,34;69,47;78,81;0
20826;2;0;0;168,2;103,4;0;6,229;77,38;67,59;66,59;76,47;1
20903;2;0;1;167,6;64,2;0;5,663;89,95;83,61;61,04;78,86;0
22054;2;0;1;182;;0;;84,96;86,06;56,81;72,00;0
22417;2;1;0;145,3;;0;;83,75;81,54;51,95;77,56;1
22494;2;0;1;164,9;58,6;0;5,139;83,11;75,79;65,43;;
22617;2;0;1;188,1;;2;5,504;82,14;86,18;67,71;76,71;1
22742;2;1;0;189,2;;0;7,499;84,14;68,46;47,42;85,33;1
23731;2;0;1;184,6;94,9;0;5,554;87,83;84,06;63,32;72,53;0
25034;2;1;0;168,5;;0;7,403;74,68;75,42;62,08;77,96;1
25221;2;0;1;171;93,7;0;5,020;73,12;87,62;63,49;69,56;1
25714;2;;0;156,2;107,5;0;6,320;82,23;86,94;62,51;75,63;
26199;2;1;0;164,8;73,8;0;7,990;83,20;76,03;54,85;85,80;0
26262;2;0;0;169,3;73,1;0;7,207;83,59;81,11;83,54;76,56;0
26961;2;1;0;153,7;61,2;0;7,802;83,45;90,41;60,94;76,85;0
27037;2;0;0;209,3;149,3;2;6,698;72,66;74,61;63,23;71,70;1
27435;2;1;0;158,3;84,6;1;6,876;83,83;94,87;73,25;81,85;0
27688;2;1;0;176,3;77,5;1;7,652;86,99;84,61;78,33;84,56;1
28053;2;1;0;172,1;68,5;0;8,170;88,16;80,86;58,27;78,20;1
28084;2;0;0;178,2;;0;8,246;91,72;86,81;71,22;81,83;1
28460;2;1;1;170,1;73,3;0;5,632;77,68;73,78;61,55;86,28;1
28570;2;0;0;172,5;62,1;2;;71,28;66,97;59,05;77,43;1
28668;2;0;1;165,4;71,9;0;;77,07;86,95;68,02;79,05;
28689;2;0;0;153,6;;;8,001;90,64;91,65;70,38;78,62;0
29009;2;1;0;152,7;52,5;;8,598;75,56;75,68;57,47;74,78;1
29238;2;0;1;194,2;88,5;0;5,232;86,46;91,52;74,07;78,15;0
29313;2;0;1;166,5;73,8;1;5,153;86,47;85,19;64,45;79,36;1
29363;2;1;0;170;99,1;;6,615;90,33;96,79;69,79;93,01;1
29464;2;1;0;168,6;56,5;0;9,597;85,52;80,77;50,11;83,67;0
29529;2;1;1;177,6;;0;4,637;89,68;90,60;69,89;80,68;0
29757;2;0;1;185,9;79,2;0;5,835;78,74;81,77;70,19;75,83;0
30418;2;;0;164,5;103;0;6,520;96,16;78,02;58,29;79,61;0
30720;2;0;0;164,7;72,6;0;6,897;82,06;78,72;73,13;73,33;0
31189;2;0;1;191,6;93,4;0;5,886;81,19;89,84;68,40;81,66;1
31576;2;1;1;165,2;64,9;0;5,644;;80,45;66,51;72,36;1
32224;2;0;1;191,8;96,2;0;5,031;;77,85;63,79;85,42;0
32437;2;1;0;158,2;58,5;0;6,476;74,59;72,61;63,64;78,86;0
32439;2;1;1;166,2;67,7;0;5,472;91,44;96,56;76,42;87,32;0
32712;2;0;0;172,2;144,6;2;5,990;90,29;78,63;65,35;76,83;0
33017;2;0;1;181,1;69,8;0;4,717;76,75;81,10;51,11;74,47;1
33117;2;1;1;160,7;55,7;0;5,303;87,75;81,48;62,87;80,16;1
33377;2;1;0;146,1;46,9;0;7,708;84,18;87,59;61,30;82,64;1
33454;2;1;0;193,8;103,6;2;7,586;;76,12;64,49;85,19;0
34623;2;1;0;168,2;98,6;0;6,902;78,20;75,92;46,99;81,43;0
35350;2;1;0;143,2;57,4;0;7,570;87,33;67,42;53,17;87,05;1
35687;2;1;0;145,6;49;0;8,525;81,74;83,16;46,25;84,22;1
36104;2;0;1;179,7;79,7;0;4,716;76,49;89,04;62,25;67,08;0
36336;2;1;0;172;55,9;0;8,103;82,15;96,24;67,59;79,11;0
36368;2;0;1;190,4;83,1;0;4,642;68,77;85,45;64,91;70,19;0
36406;2;1;0;173,3;99,5;0;7,337;82,46;98,48;60,56;78,51;1
36655;2;0;1;163,6;88,4;0;5,270;81,90;81,98;73,83;73,72;0
36693;2;1;0;171,8;57,7;2;9,475;80,53;87,96;64,28;81,96;1
36714;2;0;0;177,6;90,6;;6,905;95,11;94,66;73,25;77,75;1
37105;2;1;1;168;;2;6,651;76,62;79,86;59,55;82,14;0
37301;2;1;0;;81,9;2;7,623;90,83;90,28;66,51;78,65;0
37421;2;0;1;178,7;98,9;0;5,755;;92,05;78,63;78,19;0
37553;2;0;0;173,3;75,8;0;8,221;82,86;80,98;67,23;79,49;0
37615;2;1;1;173,6;71,1;;5,769;76,01;79,17;65,63;;1
38362;2;0;0;188,7;83,7;0;9,071;90,50;84,56;68,59;73,07;1
38418;2;0;0;170,2;55,6;0;7,080;69,32;66,09;51,08;80,44;1
38549;2;0;0;199,5;74,7;0;8,142;91,20;89,95;77,45;82,24;0
38724;2;1;1;160;72,4;0;5,536;80,71;80,56;;75,48;1
39290;2;1;0;144,6;75,7;;6,813;90,43;80,36;57,17;87,33;1
39867;2;0;0;167,8;53,1;2;8,929;86,91;;73,52;75,85;0
40193;2;0;0;204,2;145,7;2;6,832;89,53;83,73;72,98;81,03;1
40601;2;0;1;178,8;;0;;70,35;64,60;60,57;75,92;0
41147;2;0;0;185,4;78,7;0;;75,58;74,57;63,84;;
41156;2;1;1;169,2;78,4;0;5,083;;81,11;72,83;90,81;0
41157;2;1;0;185,7;72,5;0;8,512;77,67;92,88;76,91;78,91;1
41227;2;1;0;;123,6;0;7,296;87,73;80,22;69,55;82,11;1
41503;2;0;0;173,6;98;0;6,326;85,29;72,55;;80,46;1
41870;2;1;0;139,7;46,1;0;7,433;86,23;89,19;61,20;88,91;
42217;2;;1;178,1;84,7;0;5,617;87,15;91,86;70,96;89,84;1
42783;2;0;0;156,6;82,4;2;7,332;87,71;91,03;76,42;84,27;0
42791;2;1;0;161,3;81,7;0;9,241;85,62;82,48;82,40;87,10;1
42830;2;0;1;197;75,6;0;5,238;76,12;88,46;66,48;;0
43678;2;;1;170,6;85;0;5,108;73,31;81,99;73,20;74,14;1
43971;2;1;1;164,3;82,8;0;6,093;83,27;80,54;70,55;86,27;1
43973;2;1;0;188,2;96,5;2;8,429;80,53;94,46;76,73;86,66;1
45784;2;1;0;155,4;;2;;;80,79;;76,25;0
45902;2;0;0;165,7;69,9;2;;85,16;83,96;64,56;90,62;1
46265;2;0;1;177,7;78,4;0;5,521;91,92;73,49;63,88;85,42;0
46663;2;1;0;179,8;121,3;1;6,391;84,79;87,04;64,34;76,01;1
46911;2;1;0;195,5;122,4;0;7,153;77,36;80,47;72,62;89,02;1
47007;2;1;1;162,9;69,7;0;5,551;83,71;83,97;69,37;81,64;1
47339;2;1;1;169,2;74,8;0;6,092;69,78;77,16;62,23;78,04;0
47506;2;1;1;159,4;73,2;0;;75,09;88,17;72,10;76,65;1
47835;2;1;0;190,3;73,6;0;9,244;83,79;95,46;67,86;80,03;1
47912;2;0;0;163,3;96;0;;88,02;81,46;57,78;80,37;1
48764;2;1;0;154,8;90;2;6,290;85,55;88,08;72,74;89,31;0
48816;2;1;0;170,8;83;2;;86,89;74,50;66,02;83,58;1
49386;2;1;0;173,6;77,5;0;8,678;;70,50;57,16;90,66;1
49445;2;0;1;205;93,9;;4,930;93,57;85,35;66,54;82,41;0
49879;2;0;1;183,1;98,5;0;5,460;72,80;73,18;53,71;72,41;0
20243;3;1;0;167,6;58,2;1;8,097;81,96;82,52;64,05;81,58;0
20758;3;0;1;162,9;78,5;0;5,005;79,11;83,40;64,08;84,12;0
21256;3;1;0;160,1;91,6;0;8,232;77,96;80,23;56,93;77,73;0
21345;3;0;1;184,9;103,5;0;;;90,42;75,93;79,71;0
21389;3;1;1;166,1;68,7;0;;78,95;79,34;64,38;;0
22029;3;1;1;165,5;;0;6,330;78,98;91,92;74,43;77,14;0
22147;3;1;0;155,4;57,5;2;7,120;85,67;91,34;;88,33;0
22652;3;1;0;;57,7;0;7,226;76,69;70,11;53,54;78,82;0
22938;3;0;0;187,6;118,4;0;6,430;75,56;;57,61;;0
22961;3;0;1;177,1;100,7;0;5,585;82,18;81,02;66,15;79,47;0
23155;3;1;1;176,8;;0;5,951;;84,15;73,84;85,49;0
23514;3;1;0;;52,2;2;8,314;87,76;80,41;46,68;83,13;0
23871;3;0;0;;134,8;0;6,992;100,78;73,73;60,88;83,99;0
24480;3;0;1;196,1;93,9;0;5,392;86,69;80,53;63,20;70,74;0
24904;3;1;0;149,1;61,5;0;7,024;86,80;83,24;64,88;86,69;0
25251;3;0;1;188,5;;0;4,631;93,63;98,19;79,65;73,97;1
25866;3;1;1;170,9;71,7;0;6,212;77,78;85,61;65,15;76,63;0
26034;3;1;1;169,2;69,5;0;;89,29;96,80;93,78;88,77;0
26223;3;1;0;169,3;101,8;0;;87,29;89,62;69,11;;0
26771;3;1;1;172,9;56,3;1;6,641;92,20;83,69;69,35;91,78;0
26776;3;1;0;179,1;81;1;7,744;79,69;84,04;64,38;80,86;0
26843;3;1;0;145,4;77,1;0;;81,00;86,66;69,38;;0
27177;3;1;1;162,9;;0;5,974;88,15;73,14;46,66;85,12;0
27203;3;1;0;195,7;100,1;0;7,423;89,33;95,46;82,45;86,08;0
27365;3;1;0;189;73,6;1;8,370;78,66;79,62;52,03;85,68;0
27638;3;0;0;177,8;132,3;0;7,460;;69,84;60,41;86,99;0
27958;3;0;0;166,8;91,3;0;6,881;;88,39;70,57;78,42;0
28044;3;0;0;188,9;;0;;85,18;96,12;73,09;75,36;0
28874;3;1;1;159;49,9;0;5,824;83,14;83,74;53,37;81,09;0
29103;3;0;0;199,7;100,5;2;;82,87;83,06;71,03;69,87;0
29507;3;1;0;181,3;65,6;0;8,193;94,85;86,33;68,35;;0
29967;3;0;0;188,7;119,8;0;6,091;73,27;82,94;70,89;76,99;0
30070;3;0;1;188,8;;;5,772;76,55;81,33;61,31;79,30;0
30268;3;0;0;186,9;145;1;6,535;81,10;87,48;71,30;72,35;0
30329;3;0;0;172,7;97,9;2;6,082;82,28;81,52;65,08;77,40;0
30337;3;1;1;165;68,2;0;5,619;81,75;81,38;56,27;82,77;0
30424;3;0;0;189,1;86,4;0;8,047;79,59;83,55;67,99;73,90;0
30904;3;1;0;157,3;92,6;1;6,075;77,66;66,99;59,60;76,33;0
30968;3;1;0;181,9;;0;6,989;78,00;81,51;62,14;74,13;0
31160;3;1;1;171,8;76,1;1;5,413;81,45;88,50;64,31;77,29;1
31419;3;0;0;155,2;75,7;0;6,614;95,81;95,42;74,81;72,48;0
31549;3;0;0;181,1;111;0;7,452;76,51;80,59;71,18;84,17;0
32069;3;0;1;179,7;73,2;0;5,595;82,54;83,33;69,79;83,66;0
32440;3;1;1;162,8;72;0;4,779;89,73;84,52;71,87;86,49;0
32657;3;0;0;197,1;;0;6,333;78,08;70,90;61,43;79,37;0
32786;3;1;0;167,7;95,8;0;6,787;82,95;83,26;68,23;82,78;0
33162;3;0;0;;92,8;2;5,451;81,73;86,80;67,03;77,71;1
33204;3;0;1;191,5;74,3;0;5,141;92,32;86,05;62,61;79,61;1
33358;3;1;0;;70,6;0;;85,83;97,22;77,92;73,17;0
33692;3;0;1;;85,2;0;5,357;72,00;80,06;70,34;74,80;0
34212;3;1;1;176,9;;1;5,795;82,98;84,31;67,97;90,90;0
34690;3;1;0;144,9;51,6;2;7,993;83,34;75,52;67,00;78,89;1
35048;3;1;0;184,6;122,6;1;;91,35;86,26;58,31;77,66;0
35681;3;1;0;154,5;48,5;0;7,374;85,45;82,44;46,14;76,75;0
36009;3;0;0;182,8;93,2;0;7,954;84,25;84,65;60,12;83,74;0
36100;3;0;0;166,4;97,3;0;6,798;95,86;81,47;65,64;87,96;0
36657;3;1;0;179,6;77;2;8,232;91,91;91,58;67,08;85,88;0
36681;3;0;0;156,2;69,8;2;6,769;87,60;85,40;60,27;73,29;0
36691;3;0;0;;;0;6,924;70,35;75,49;59,63;75,31;1
36863;3;1;1;167,3;70;0;5,079;89,37;82,52;60,47;;0
37310;3;1;1;167;76,7;1;4,889;90,76;93,96;69,55;82,52;1
37328;3;0;1;;98;2;5,867;88,57;83,81;63,18;75,69;0
37333;3;1;0;164,2;68,1;0;6,566;89,12;;69,90;86,33;0
37881;3;1;0;196,4;91,9;0;7,394;;80,21;63,59;86,54;0
38020;3;1;0;158,6;77,6;1;7,170;86,20;79,24;59,85;75,76;0
38631;3;0;1;172,9;86,5;0;;94,67;94,17;81,01;86,68;0
38928;3;1;0;167;86,4;1;7,285;79,14;69,98;50,42;;0
39033;3;1;1;171,9;74,4;0;5,791;80,97;70,75;60,08;76,89;0
39181;3;0;0;;98,1;2;8,892;88,44;72,81;62,49;79,90;0
39816;3;1;0;162,5;83,9;;8,274;78,85;85,44;62,80;76,39;0
40229;3;0;0;186,4;82;0;7,383;84,12;86,28;67,47;78,80;0
40662;3;0;1;193,3;100,1;2;5,671;81,41;74,40;65,10;76,24;0
40916;3;1;0;179,1;125,1;0;7,276;91,25;97,69;77,73;83,53;0
41406;3;1;0;151,6;;0;7,136;83,86;74,11;61,29;82,26;0
41425;3;1;0;158,2;68,1;1;;79,44;91,34;68,44;80,72;0
42216;3;0;0;176,9;67,3;1;7,767;87,73;80,76;54,12;71,37;0
42474;3;1;0;171,8;97,7;0;7,266;81,29;84,10;;74,30;0
42520;3;0;0;179,8;89,3;0;7,068;85,68;77,20;70,87;69,61;0
43255;3;0;0;166,5;84,5;1;6,363;79,12;76,14;72,92;71,00;0
44698;3;1;0;167,3;62,5;0;7,135;83,97;80,50;69,57;84,09;0
45041;3;1;0;167,4;72,8;0;;81,02;88,09;68,74;83,97;0
45095;3;1;1;176,7;69,5;0;5,153;84,50;76,92;68,00;92,34;0
45788;3;1;1;;75,1;0;5,772;83,46;87,08;64,73;85,32;0
46722;3;1;1;182,4;69;1;6,481;97,49;78,84;64,89;88,09;0
46857;3;0;0;188,8;136,2;0;6,284;93,34;92,08;71,69;79,27;0
46912;3;0;0;157,7;59,3;2;7,973;;81,27;;76,42;0
47122;3;1;0;157,5;80,4;0;7,186;77,71;99,35;85,57;87,08;0
47676;3;0;0;;82,2;1;7,109;88,45;88,33;71,93;78,05;0
48033;3;1;1;174,9;79,7;0;4,621;83,89;75,34;53,49;72,11;0
48295;3;1;0;164,8;92,3;0;6,895;84,41;84,50;72,06;91,38;0
48702;3;0;0;158,6;70,4;2;7,853;84,65;68,73;55,84;73,04;0
48976;3;0;1;186,7;79,3;2;5,845;85,37;71,20;58,10;77,72;0
49137;3;0;1;166;64,7;2;5,941;79,81;66,57;60,05;77,09;0
49165;3;;1;168,5;84,3;2;5,846;90,18;91,35;61,72;75,24;0
49806;3;1;0;160,6;57,9;;7,616;78,30;;77,03;78,70;1
49821;3;1;1;173,3;74,5;1;5,637;71,93;67,04;62,64;;0
49854;3;0;0;159,5;116,1;;6,283;81,22;86,67;66,44;78,63;0
49931;3;0;1;171,6;72;0;5,140;84,34;;63,70;75,77;0
21254;4;0;1;183,3;;0;5,203;71,87;93,95;;75,98;0
21421;4;1;1;161;;0;5,080;85,87;95,07;72,42;84,30;0
21610;4;0;1;183;80,3;0;5,124;94,38;89,54;82,12;82,54;0
22167;4;0;0;170,2;97,5;0;7,610;80,08;75,46;71,20;74,78;0
22240;4;1;1;168,5;62,7;0;;86,28;88,13;62,92;90,27;0
23037;4;1;0;161,6;86,7;2;6,587;;64,68;64,67;84,71;0
23340;4;1;1;163,7;61,1;0;6,177;75,05;88,79;85,69;83,22;0
23659;4;0;0;177,3;124,6;0;;83,23;84,39;59,27;75,95;0
23717;4;1;0;150,5;50,2;0;7,419;85,03;81,98;72,90;85,70;0
24362;4;1;0;181,2;96,2;0;7,559;79,10;88,78;62,85;76,60;0
25875;4;1;0;183,9;;0;7,571;78,41;88,07;66,28;82,75;
26367;4;1;0;177,4;79,1;0;6,969;77,24;72,75;63,06;84,48;0
26510;4;0;1;169,1;89;0;5,002;99,56;85,94;80,59;79,12;0
27209;4;1;1;168,4;74;0;6,167;81,37;72,15;58,36;87,49;0
28328;4;0;0;160,2;86,9;0;7,095;;89,00;72,63;77,47;0
