"Agricultural methane emissions (% of total)","Agricultural nitrous oxide emissions (% of total)","Agriculture, forestry, and fishing, value added (current US$)","Changes in inventories (current US$)","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","CO2 emissions from gaseous fuel consumption (% of total)","CO2 emissions from gaseous fuel consumption (kt)","CO2 emissions from liquid fuel consumption (% of total)","CO2 emissions from liquid fuel consumption (kt)","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)","CO2 emissions from solid fuel consumption (% of total)","CO2 emissions from solid fuel consumption (kt)","CO2 emissions from transport (% of total fuel combustion)","CO2 intensity (kg per kg of oil equivalent energy use)","Energy related methane emissions (% of total)","Exports of goods and services (current US$)","External balance on goods and services (current US$)","Final consumption expenditure (current US$)","GDP (current US$)","GDP per capita (current US$)","General government final consumption expenditure (current US$)","GNI (current US$)","Gross capital formation (current US$)","Gross domestic savings (current US$)","Gross fixed capital formation (current US$)","Gross national expenditure (current US$)","Gross savings (current US$)","Gross value added at basic prices (GVA) (current US$)","Households and NPISHs Final consumption expenditure (current US$)","Imports of goods and services (current US$)","Industry (including construction), value added (current US$)","Manufacturing, value added (current US$)","Net primary income (Net income from abroad) (current US$)","Net secondary income (Net current transfers from abroad) (current US$)","Nitrous oxide emissions in energy sector (% of total)","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","Services, value added (current US$)","Taxes less subsidies on products (current US$)","Year","Country"
"true","true","false",,"false","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Bangladesh"
"false","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Barbados"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Belarus"
"false","false",,"false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false",,,"false","true","false","false",,"false","false","Belgium"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Belize"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"false","Benin"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,,,,,,,,,,,,,,"false","false",,,"false","Bermuda"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true",,"false","false","false","false","false",,"false",,,"false",,"false","false","false","false",,"true","false","false","false","false","Bhutan"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Bolivia"
"false","true",,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Bosnia and Herzegovina"
"true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Botswana"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Brazil"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,"false","British Virgin Islands"
"false","false","false",,"true","true","false","false","false","false","false","false","false","false","false","false","true",,,,"false","false",,,,,,,,,,,"false","false",,,"false","false","false",,"false","Brunei Darussalam"
"false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","true","false","false","false","false","false","Bulgaria"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false","true","false","false","false","false","false","Burkina Faso"
"false","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Burundi"
"false","true","false",,,"false","false","true","false",,,,"false","false",,,"false","false","true",,"false","false",,"false",,,,,,,,"false","false","false","false","true","false","false","false",,"false","Cabo Verde"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Cambodia"
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Cameroon"
"false","false",,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false","true","false","false",,"false","false","Canada"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,"false","Cayman Islands"
"true","true",,"false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false","true","false","false",,"false","false","Central African Republic"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Chad"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Channel Islands"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Chile"
"true","true","false","true","false","false","false","false","false","true","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false",,"false","true","false","false","false",,"false","China"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Colombia"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false",,"false",,"false","false","false",,"false","Comoros"
"false","false",,,"false","false","false","true","false","false","true","false","false","false","false","false","false",,,,"false","false",,,,,,,,,,,,,,,"false","false",,,"false","Congo, Dem. Rep."
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,"false","false","false",,"false","Congo, Rep."
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"false","Costa Rica"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,,"false","false","false",,"false",,"false","false","false",,"false","Cote d'Ivoire"
"true","false",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Croatia"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false",,"false","false",,"false","false","Cuba"
,,,,"true",,,,,"false","false","false",,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,"false","Curacao"
"true","true","false",,"false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","true","false","false",,,"false","Cyprus"
"false","false",,,"false",,,,,"true","false","false",,,"false",,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Czechia"
"true","true","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Denmark"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,,,,,,,,,,,,,,"false","false",,,"false","Djibouti"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,"false",,,"false","false","false","true","false","false","false","false","false","Dominica"
"true","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Dominican Republic"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Ecuador"
"false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Egypt, Arab Rep."
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"false","El Salvador"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"true",,,,"false","false",,"false",,,,,,,,,,,"false","true","true","false",,,"false","Equatorial Guinea"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Eritrea"
"true","false",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Estonia"
"true","true","false","false",,"false","false","false","false",,,,"true","false",,,"false","false","true","false","false","false","false",,"false","false","false","false",,"false","false","false","false","false",,,"false","false","false","false","false","Eswatini"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false",,,,"false","false",,"false","false",,,,,"false",,,"false","false","false","true","false","false","false","false","false","Ethiopia"
"false","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,"false",,,,,,,,,,,,,"false",,,,"false","Faroe Islands"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Fiji"
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Finland"
"true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false","true","false","France"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,,,,,,"false",,"false","false",,,"false","French Polynesia"
"false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","true","false","false","false",,"false","Gabon"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,"false","false","false",,"false","Gambia, The"
"true","false",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Georgia"
"false","false",,"false","false",,,,,"false","false","true",,,"false",,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"true","true","false","false",,"true","false","Germany"
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Ghana"
"false","false",,,"false","false","false","true","false","false","false","false","false","false","true","false","false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Gibraltar"
"true","true",,"false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false",,"false","false","false","false",,"false","false","false",,,,,"false","false",,"false","false","Greece"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,,,,,,"false","true","false",,,,"false","Greenland"
"false","true","false",,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,"false",,,"false","false","false","true","false","false","false","false","false","Grenada"
"false","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Guam"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"false","Guatemala"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","true","false","false","false","false","false","Guinea"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Guinea-Bissau"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false",,"false","false","false","false","false","Guyana"
"true","true",,,"false","false","false","true","false","false","false","false","false","false","false","false","false",,,,"false","false",,"false",,,,,,,,,,,"false","true","false","false",,,"false","Haiti"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Honduras"
"false","false",,"false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,,"false","false",,,"false",,"true","false",,,"false","Hong Kong SAR, China"
"true","false",,,"false","false","false","false","false","false","false","false","false","false","false","true","false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Hungary"
"true","true",,"false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,"false","false",,,"false","Iceland"
"true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","India"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false",,,"false","false","false",,"false","Indonesia"
"false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false","true","false","false","false","false","false","Iran, Islamic Rep."
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,"false","false","false",,"false","Iraq"
"true","true",,"false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false",,,,,"false","false",,"false","false","Ireland"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Isle of Man"
"false","false",,"false","true","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false",,,"false","false","false",,"false","false","false",,"false","false",,,"false","true","false","false",,,"false","Israel"
"false","true",,"false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false","true","false","false",,"true","false","Italy"
"true","true",,"false","false","false","false","true","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false","true","false","false",,"false","false","Jamaica"
"true","false",,"false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false",,,"true","true","false","false",,"false","false","Japan"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Jordan"
"false","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Kazakhstan"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false",,"false","false","Kenya"
"false","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Kiribati"
"false","true",,,"false","false","false","false","false","true","false","false","true","false","false","true","true",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Korea, Dem. People's Rep."
"false","true","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Korea, Rep."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Kosovo"
"false","false",,"false","true","true","false","false","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,"true","true","false","false",,,"false","Kuwait"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Kyrgyz Republic"
"true","true",,"false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,,,"false","false",,,"false","Lao PDR"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Latvia"
"false","true",,,"true","false","false","true","false","false","false","false","false","false","false","true","false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Lebanon"
"true","true","false",,,,,,,,,,,,,,"false",,,,"false","false",,"false",,,,,,"false",,,"false","false","false","true","false","false","false","false","false","Lesotho"
"false","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Liberia"
"false","false",,,"true","false","false","true","false","false","false","false","false","false","false","true","true",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Libya"
,,,,,,,,,,,,,,,,,,,,"false","true",,"false",,,,,,,,,,,"false",,,,,,"false","Liechtenstein"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Lithuania"
"true","true",,"false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false",,,"false",,"false","false",,"false","false","Luxembourg"
"false","false",,"false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false",,,"false","false",,,,,"true",,,,"false","Macao SAR, China"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,"false","true","false","false",,,"false","Madagascar"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,"false",,,"false",,,,"false","false","false","false","false","Malawi"
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Malaysia"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false","false","true",,"false","false",,"false",,,,,,,,"false",,,"false",,"false","false",,,"false","Maldives"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","true","false","false","false","false","false","Mali"
"false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Malta"
"false","false",,,,,,,,,,,,,,,"false",,,,"false","false",,,,,,,,,,,,,,,"false",,,,"false","Marshall Islands"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Mauritania"
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Mauritius"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Mexico"
"true","true",,,,,,,,,,,,,,,"false",,,,"false","false",,,,,,,,,,,,,,,"false",,,,"false","Micronesia, Fed. Sts."
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Moldova"
,,,,,,,,,,,,,,,,,,,,"false","true",,,,,,,,,,,,,,,,,,,"false","Monaco"
"true","true","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","true","false","false",,"false","false","Mongolia"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Montenegro"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Morocco"
"true","true",,"false","false","false","false","true","false","false","true","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Mozambique"
"false","false",,,"false","true","false","false","false","false","false","false","false","false","false","false","false",,,,"false","false",,"false",,,,,,,,,,,"false","true","false","false",,,"false","Myanmar"
"true","true","false","false",,,,,,,,,,,,,"false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false",,"false","false","false","false","false","Namibia"
"false","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,"false","Nauru"
"true","true","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Nepal"
"false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Netherlands"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,,,,,,"false",,"false",,,,"false","New Caledonia"
"true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false","true","false","false","false","false","false","New Zealand"
"true","true",,,"false","false","false","true","false","false","false","false","false","false","false","false","false","false","true",,"false","false","false","false","false",,,,,,,"false",,,"false",,"false","false",,,"false","Nicaragua"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,"false","false","false",,"false","Niger"
"false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Nigeria"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","North Macedonia"
"false","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,"false","Northern Mariana Islands"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Norway"
"false","true","false",,"true","true","false","false","false","false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false",,"false","false",,"false","false","false",,"false",,"false","false",,,"false","Oman"
"true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Pakistan"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,"false","Palau"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Panama"
"false","false","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false",,"false","false","Papua New Guinea"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false",,"false","false","false","false",,"false","false","false","false","false",,,"false","false","false","false","false","Paraguay"
"true","true",,"false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,"false",,"false","false",,,"false","Peru"
"true","true","false",,"false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false",,"false","false",,"false","false","false",,"false",,"false","false","false",,"false","Philippines"
