SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,REGION_RATING_CLIENT_W_CITY,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21
180783,0,Cash loans,F,Y,Y,0,180000,1113840,47322,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.011657,-15333,-4755,-10007,-4590,1,1,0,1,0,0,Sales staff,1,0,1,1,0,1,1,Self-employed,0.5022171026134231,0.6827796695807163,0.5352762504724826,0,0,0,-2758,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144865,0,Cash loans,F,Y,Y,1,225000,545040,25537.5,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.010966,-13395,-521,-7494,-2196,1,1,0,1,0,0,Managers,2,0,0,0,0,0,0,Self-employed,0.3996413189286216,0.31026028653785365,0.3233112448967859,1,1,0,-2309,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397289,0,Cash loans,F,N,Y,1,270000,679500,28917,Unaccompanied,Working,Higher education,Married,House / apartment,0.010006,-14784,-6476,-2605,-4746,1,1,0,1,0,0,Laborers,2,0,0,0,0,0,0,Industry: type 9,0.5022171026134231,0.5222047325348281,0.7898803468924867,0,0,0,-1487,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265215,0,Cash loans,M,N,N,0,180000,225000,22252.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.014519999999999996,-18009,-2547,-6116,-1496,1,1,0,1,0,0,Laborers,2,0,0,0,0,1,1,Business Entity Type 3,0.5022171026134231,0.3442507292017128,0.3859146722745145,0,0,0,-1805,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239699,0,Cash loans,M,Y,Y,2,360000,814041,26388,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.072508,-12136,-5142,-6229,-4634,1,1,0,1,0,0,Drivers,1,0,0,0,0,0,0,Government,0.5022171026134231,0.7476805155771451,0.7016957740576931,0,4,0,-870,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293272,1,Cash loans,M,N,Y,0,94500,314100,17167.5,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.019689,-10916,-1367,-2064,-3597,1,1,0,1,0,0,Laborers,2,0,0,0,0,0,0,Self-employed,0.5022171026134231,0.3088161356380574,0.8463780633178121,0,0,0,-1016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132556,0,Cash loans,M,Y,Y,0,36000,47970,5539.5,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329,-20545,365243,-3346,-4101,1,0,0,1,0,0,Laborers,2,0,0,0,0,0,0,XNA,0.5022171026134231,0.2979334710958533,0.8128226070575616,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406615,0,Cash loans,F,N,N,0,162000,640080,31261.5,Unaccompanied,Working,Higher education,Married,House / apartment,0.00823,-15647,-1570,-569,-626,1,1,0,1,0,0,Laborers,2,0,0,0,0,1,1,School,0.5022171026134231,0.4841258884968279,0.18848953379516767,0,0,0,-302,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368775,0,Cash loans,F,N,Y,1,135000,314100,18981,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019689,-10134,-1514,-4851,-1463,1,1,0,1,0,0,Laborers,2,0,0,0,0,0,0,Self-employed,0.5126759623801763,0.6797978136747904,0.29859498978739724,2,4,0,-826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140032,1,Cash loans,M,Y,N,11,315000,1007761.5,38515.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010643,-17308,-198,-3940,-844,1,1,0,1,0,0,Managers,2,0,0,0,0,1,1,Other,0.13458681378758824,0.5674541698628023,0.12295541790885495,0,0,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
150838,0,Revolving loans,M,N,Y,0,135000,180000,9000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-8100,-1224,-6149,-769,1,1,1,1,1,0,Laborers,2,0,0,0,0,0,0,Transport: type 2,0.09337431784135526,0.6496457565615936,0.4206109640437848,0,0,0,-1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434773,0,Cash loans,F,N,Y,0,99000,439740,21285,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019689,-18908,-2020,-11014,-2446,1,1,0,1,0,1,Cleaning staff,2,0,0,0,0,0,0,Housing,0.5022171026134231,0.3906808791249651,0.5352762504724826,0,0,0,-341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113851,0,Cash loans,F,N,Y,0,157500,170640,9922.5,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.015221,-17119,-2393,-1584,-672,1,1,0,1,0,0,Core staff,2,0,0,0,0,1,1,Government,0.5022171026134231,0.05076575951451645,0.5316861425197883,0,0,0,-181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334399,0,Cash loans,F,N,Y,2,76500,949500,27760.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006008,-13694,-1117,-7812,-3038,1,1,0,1,0,0,Laborers,2,0,0,0,0,1,1,Self-employed,0.43179407199655495,0.6620825844780339,0.6577838002083306,0,0,0,-1747,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271549,0,Cash loans,F,Y,N,1,315000,675000,41296.5,Family,Commercial associate,Higher education,Married,House / apartment,0.018801,-9670,-1031,-1692,-1923,1,1,0,1,1,0,Accountants,2,0,1,1,0,1,1,Business Entity Type 3,0.2860658320472589,0.42414833268385854,0.03535646292525898,0,0,0,-812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102781,0,Cash loans,M,N,Y,2,135000,327024,18904.5,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.018634,-17600,-1039,-8587,-865,1,1,0,1,0,0,Laborers,2,0,0,0,0,1,1,Government,0.34780760268077376,0.3780610817935009,0.5567274263630174,0,4,0,-315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423838,0,Cash loans,F,N,Y,2,135000,1046142,30717,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-10914,-420,-249,-3471,1,1,0,1,0,0,Sales staff,2,0,0,0,0,0,0,Industry: type 3,0.5022171026134231,0.16318703546427088,0.3842068130556564,0,9,0,-497,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262988,0,Cash loans,F,N,Y,0,180000,490495.5,27517.5,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-21742,365243,-3463,-4837,1,0,0,1,1,0,Laborers,2,0,0,0,0,0,0,XNA,0.8405155846264014,0.6564730296965111,0.4382813743111921,0,0,0,-1394,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285191,0,Cash loans,F,N,Y,0,76500,422235,30159,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-18779,-8418,-8406,-2302,1,1,0,1,1,0,Laborers,3,0,0,0,0,0,0,Transport: type 4,0.5022171026134231,0.1916410148831793,0.5352762504724826,0,1,0,-2514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169456,0,Cash loans,M,N,Y,0,135000,225000,16002,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.019101,-17653,-1479,-724,-1204,1,1,1,1,1,0,Laborers,2,0,0,0,0,0,0,Business Entity Type 3,0.5022171026134231,0.6773892676724935,0.5352762504724826,0,0,0,-1359,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
334710,0,Cash loans,F,N,Y,0,270000,474408,21024,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.04622,-20453,365243,-5446,-988,1,0,0,1,1,0,Laborers,1,0,0,0,0,0,0,XNA,0.5022171026134231,0.6616861849612591,0.6956219298394389,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289726,0,Cash loans,M,Y,Y,3,225000,450000,30442.5,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.02461,-15662,-5437,-3877,-4664,1,1,1,1,0,0,Managers,2,0,0,0,0,0,0,Other,0.5022171026134231,0.6488788826097739,0.5442347412142162,0,0,0,-1593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133750,0,Cash loans,F,Y,Y,0,202500,536917.5,17874,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.008473999999999999,-16331,-8491,-9255,-4728,1,1,0,1,1,0,Core staff,2,0,0,0,0,1,1,Government,0.5022171026134231,0.364423388125304,0.6075573001388961,0,0,0,-340,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306280,0,Cash loans,M,Y,N,0,247500,983160,65835,Unaccompanied,State servant,Higher education,Married,Office apartment,0.030755,-8915,-1275,-110,-1517,1,1,0,1,0,1,Laborers,2,0,0,0,0,0,0,Military,0.2174278519810428,0.6371437258227394,0.3092753558842053,0,0,0,-766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133768,0,Cash loans,F,N,Y,0,180000,286704,17667,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.031329,-19310,-11547,-4844,-2788,1,1,0,1,0,0,Laborers,2,0,0,0,0,0,0,Construction,0.3368013038980455,0.5500146958387322,0.5388627065779676,0,1,0,-1909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391063,0,Cash loans,F,N,N,0,103500,1035832.5,30285,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-21737,-14981,-15703,-4376,1,1,0,1,0,0,Cooking staff,2,0,0,0,0,0,0,School,0.7113393464145819,0.4787157285698562,0.5352762504724826,0,0,0,-2372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176492,0,Cash loans,F,N,Y,0,67500,67500,6804,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-15669,-381,-2415,-4494,1,1,1,1,1,0,Medicine staff,3,0,0,0,0,0,0,Medicine,0.6591819842424939,0.5232685723801617,0.7776594425716818,0,9,0,-711,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336329,0,Cash loans,F,N,Y,0,225000,301536,14634,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-22756,365243,-5835,-4552,1,0,0,1,0,0,Laborers,2,0,0,0,0,0,0,XNA,0.5022171026134231,0.5892660217018802,0.7801436381572275,1,7,0,-2285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396407,0,Cash loans,M,Y,N,0,270000,543037.5,33349.5,Unaccompanied,Pensioner,Incomplete higher,Married,House / apartment,0.016612000000000002,-9751,365243,-2194,-2380,1,0,0,1,0,0,Laborers,2,0,0,0,0,0,0,XNA,0.33040104075654103,0.3663349989992038,0.7209441499436497,0,0,0,-501,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183597,0,Cash loans,M,Y,Y,0,180000,309420,14553,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.022625,-9128,-1172,-3649,-1592,1,1,0,1,0,0,Laborers,2,0,1,1,0,1,1,Business Entity Type 3,0.5022171026134231,0.34064632157533736,0.2418614865234661,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
